id	decision	status	target_asset	evidence	notes
wechat-0001	MERGE	absorbed-method-only	agent-dev-kit/docs/skill-agent-runtime-model.md;agent-dev-kit/docs/runbooks/skill-curation-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-001.md	Skill as SOP is already ADK baseline; absorbed as curation boundary and no new skill.
wechat-0002	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/memory-governance.md;agent-dev-kit/docs/runbooks/token-context-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-001.md	Context continuity method absorbed; named external tool and install path remain report-only.
wechat-0004	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md;agent-dev-kit/docs/runbooks/skill-curation-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-001.md	Domain-specific book-source rules rejected; retained Codex+Skill+MCP evidence-loop pattern only.
wechat-0005	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/skill-agent-runtime-model.md	reports/wechat-absorb-batch-2026-05-23-p0-001.md	Generic Agent product taxonomy overlaps existing runtime model and does not add ADK gate behavior.
wechat-0013	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/token-context-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-001.md	Trend/news content and project names kept out of core; existing context governance already covers the method.
wechat-0015	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-001.md	Spring Boot tutorial code rejected; absorbed MCP tool boundary and validation-chain guidance.
wechat-0016	MERGE	absorbed-method-only	agent-dev-kit/docs/skill-agent-runtime-model.md;agent-dev-kit/docs/runbooks/workspace-maintenance-guide.md	reports/wechat-absorb-batch-2026-05-23-p0-001.md	CLAUDE.md idea mapped to AGENTS/project-context governance without adding parallel config docs.
wechat-0020	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/memory-governance.md;agent-dev-kit/docs/runbooks/token-context-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-001.md	Memory-system taxonomy absorbed as index-first retrieval and memory conflict/expiry rules.
wechat-0021	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/token-context-governance.md;agent-dev-kit/docs/runbooks/memory-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-001.md	Transformation-layer and context-budget rules absorbed; raw evidence must remain recoverable.
wechat-0026	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/optional-skills/adk-skill-composition-governance/references/adk-skill-lifecycle.md	reports/wechat-absorb-batch-2026-05-23-p0-002.md	Skill-creator article absorbed as reuse-threshold, real-example, resource-split and validation guidance; no new creator skill.
wechat-0027	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/planning-execution-loop.md;agent-dev-kit/docs/runbooks/token-context-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-002.md	GSD project kept report-only; absorbed thin-orchestrator and staged state-file method into existing planning/context gates.
wechat-0037	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/optional-skills/adk-skill-composition-governance/references/adk-skill-lifecycle.md	reports/wechat-absorb-batch-2026-05-23-p0-002.md	Five skill patterns already exist; absorbed selection guidance and hard-gate emphasis.
wechat-0038	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/optional-skills/adk-skill-composition-governance/SKILL.md	reports/wechat-absorb-batch-2026-05-23-p0-002.md	Duplicate pattern article merged; no new parallel pattern taxonomy.
wechat-0040	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-002.md	OpenClaw automation commands rejected; absorbed autonomous-trigger and standing-order risk gates.
wechat-0045	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/workspace-maintenance-guide.md	reports/wechat-absorb-batch-2026-05-23-p0-002.md	Cursor-specific rules mapped to project AGENTS/context governance; no parallel .cursorrules policy.
wechat-0046	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/security-supply-chain.md;agent-dev-kit/docs/runbooks/skill-curation-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-002.md	External skill marketplace article remains reference-only until per-skill supply-chain review.
wechat-0051	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-002.md	IP visual production is outside ADK core domain; generic generator/anchor/checklist method already covered.
wechat-0052	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/optional-skills/adk-skill-composition-governance/references/adk-skill-lifecycle.md	reports/wechat-absorb-batch-2026-05-23-p0-002.md	Absorbed atomic skill design and no implicit skill-to-skill coupling rule.
wechat-0054	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-002.md	MCP recommendations absorbed as tiered enablement and least-privilege review; no MCP server installed.
wechat-0055	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/planning-execution-loop.md	reports/wechat-absorb-batch-2026-05-23-p0-003.md	Absorbed planner/executor split and staged execution discipline; named model/platform and free-cost claims rejected.
wechat-0058	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/optional-skills/adk-skill-composition-governance/references/adk-skill-lifecycle.md	reports/wechat-absorb-batch-2026-05-23-p0-003.md	Absorbed evidence-driven Skill evolution, success invariants, failure fixes, and monotonic promotion; external paper/code claims remain report-only.
