repo	expected_state	baseline_ref	status_fingerprint	change_count	last_scanned_at	expires_on	owner	reason
AUBB-Server	dirty	observe-baseline	ebde0d3eb5fd33710bb53d9830d3b96911fd90f3aa192679343733def0a1f546	613	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
Migrationed_skills	dirty	observe-baseline	e80132af368f1f095bea481040b1e7d952c737bf9ff0e0d92909fb3a2618d331	2071	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
OpenSpec	dirty	observe-baseline	385f220663e442f93e150c5b1397cb334f3c99c0dbc83a44e0b7a9c475f99d23	655	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
agency-agents-zh	dirty	observe-baseline	90dbdc694e81f4d9db9653925b5819114e1d90e58f834263c4a4236b2bb016f8	269	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
agent-skills	dirty	observe-baseline	7b0b4c3494b3692ff8a50a51f001fb08a8ec38b8535ac4eb9b67c698d3833f2e	69	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
ai-coding-guide	dirty	observe-baseline	e58e1fe411c666747c377f58d95c60a8db0d29c0be089d1845aecd14bcd1d23f	75	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
arthas	dirty	observe-baseline	d6c6c7150a89cb8a9771dc23d4147b95a0c3346ecf8a7a039ed523c0368015c7	1653	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
auto-research	dirty	observe-baseline	96704c85102a806de619903ac9769acfda8a739e56989c7686f0c2ac83842b38	370	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
codex-cookbook	dirty	observe-baseline	e266a43151b51f8af9ff991300a9a62e12e5aef495b18aad22752be986adea91	20	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
dotfiles	dirty	observe-baseline	fef28d7887df3bbb20cb8676626daacb1a5c25dfc26661fa1f50b75a9c70d860	838	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
hermes-agent	dirty	observe-baseline	5aaa1a795a9058ba0d787a4867e36cc0e3d94146bf986f5976dbc7b635bbe3e7	2531	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
hermes-collaboration-skill	dirty	observe-baseline	44f91617ac3974c608943981668731d09017a0677e2bac80be5a6e33593bb28e	27	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
mattpocock-skills	dirty	observe-baseline	41781612bb4c3cb8f4a37e1432c430dee3013d0b4c394bfe40c5f6c2a4f2b932	55	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
prompts	dirty	observe-baseline	3eb837dbdba3783ebd952eb7bc52acf37c130a187b969eb55d052ecaa1c39cfc	25	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
skills	dirty	observe-baseline	fdba068f4f87aae321b745af6bf81919d6529bcbe881c401ea09c61ca45ebf75	260	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
superpowers	dirty	observe-baseline	de009e378c682c59be9ee534ac63bcfbcda952068b0ff1186cff0404f2f109a2	115	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
superpowers-zh	dirty	observe-baseline	4996b2f24634cd12bce7d06f64e8e38c3783e7e6881d254acb1ae41aa57ea3ac	115	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
Trellis	dirty	observe-baseline	be2a6462f388bc3f73bdd42023d1c6b7fb68beae1afc78a20f094a4f7d7df4f0	1182	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
vibeflow	dirty	observe-baseline	d5c55b29c57e876243e20868252b49e13ec7cd06759bef596f87e03d067260cd	216	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
agent-browser	dirty	observe-baseline	7107a8f385d3fd67633b6f1102f79aec651067588fbb7981396b85fe566e8778	320	2026-06-15	2026-06-29	adk-maintainer	reference-repo-local-state
